"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"K1,K3";"HEADER_MALE_4X1";2;"HEADER_MALE_4X1";;;
2;"H2,H1";"HOLE_3.2mm";2;"HOLE_3.2mm";;;
3;",,,,,,,,,,,,,,,,";"buzzardLabel";17;"";;;
4;"R4,R1,R5,R3,R2";"0603R";5;"10k";;;
5;"JP1,JP2";"SMD_JUMPER_3_PAD_TRACE";2;"SMD_JUMPER_3_PAD_TRACE";;;
6;"C3,C2";"0603C";2;"2.2uF";;;
7;"U2";"SOT-363";1;"NMOS-DUAL";;;
8;"K2,K4";"easyC-connector";2;"easyC-SMD";;;
9;"U3";"SOT-23-5";1;"SE5218";;;
10;"JP3";"SMD-JUMPER-CONNECTED_TRACE_SLODERMASK";1;"SMD-JUMPER-CONNECTED_TRACE_SLODERMASK";;;
11;"G***";"Logo-Back-OSH-3.5mm";1;"LOGO";;;
12;"G***";"Logo-Front-Soldered-5mm";1;"LOGO";;;
13;"REF**";"Logo-Back-SolderedFULL-15mm";1;"Logo-Front-SolderedFULL-15mm";;;
14;"U1";"SI1142-A11-GM";1;"SI1142-A11-GM";;;
15;"G***,G***";"Logo-Front-easyC-5mm";2;"LOGO";;;
16;"FD1";"FIDUCIAL_23";1;"FIDUCIAL";;;
17;"G***";"Symbol-Front-Light";1;"LOGO";;;
18;"C1";"0603C";1;"0.1uF";;;
19;"Ref**";"Version1.0.0.";1;"Val**";;;
20;"REF**,REF**";"Symbol-Front-I2C-ADDR-Field";2;"Symbol-Front-I2C-ADDR-Field";;;
21;"JP4";"SMD_JUMPER";1;"SMD_JUMPER";;;
